2387,2269,MKTG-1018
12432,1356,GREK-002
13764,8371,LING-0750
12433,1557,FREN-0400
13762,2672,PHIL-525
12431,3859,PSCI-4991
12437,1297,FREN-0090
11103,3759,ANTH-3110
13768,8758,ANTH-6090
12434,808,PSYC-455
13765,1661,CHEM-2411
11106,8793,ARCH-9950
13766,3683,PSYC-4440
11105,8793,ARCH-5990
12440,2624,RELS-1110
1077,2600,AFRC-368
2399,2269,MKTG-1018
1068,2687,PSCI-1210
2398,2308,MKTG-421
12443,8758,ANTH-0040
11110,1356,GRMN-256
13775,6788,BIOL-254
13773,3681,BIOL-1102
12442,1557,LING-501
11115,8163,BE-9990
13779,2782,CHE-459
12448,7005,ECON-0200
11116,8163,BE-9990
12446,1797,COML-2020
1080,2672,PHIL-1000
1084,2624,RELS-5170
1082,11223,COMM-2100
1081,2624,RELS-5170
13749,270,MATH-2400
12418,1276,CLST-1700
12419,8170,PHYS-3362
12416,6979,ECON-005
1079,10575,ENGL-0160
1078,2624,RELS-5170
12410,7005,ECON-0200
13741,10575,ENGL-0160
12411,10575,ENGL-0160
13740,2269,MKTG-1018
12414,47,CIS-5800
13746,1276,GREK-0300
12412,8171,PHYS-001
13743,8652,ENGL-1650
9811,2576,LAW-8660
12429,10575,ENGL-0160
13758,10575,ENGL-0160
9803,2576,LAW-8660
13752,11256,ECON-0500
12422,6948,ECON-133
9804,2576,LAW-8660
13753,6970,ECON-003
9801,2576,LAW-8660
13751,821,CSE-131
9802,2576,LAW-8660
12420,1671,COML-002
9807,2576,LAW-9040
13756,10575,ENGL-0160
13757,2672,PHIL-460
12426,1797,COML-2020
13754,4075,COML-1000
13720,17854,URBS-1153
13723,1765,SOCI-2000
13724,6994,ECON-004
13721,8652,ENGL-1650
8501,13620,PSYC-1777
8502,3683,PSYC-0001
9833,2576,LAW-8660
8500,11565,PSYC-4999
12407,99,CSE-380
13739,1297,LATN-0400
12408,11223,ENGL-2200
12405,1797,COML-2020
200,1797,COML-2020
13737,13002,CHE-371
12406,1797,COML-2020
13730,10344,RELS-1430
12400,704,PSYC-311
208,8283,WRIT-0110
13734,270,MATH-2400
13735,15357,ECON-031
12404,6608,WRIT-067
13732,7845,MEAM-310
12402,2672,PHIL-1000
8512,8597,STAT-1110
8513,8597,STAT-1110
9844,746,LAW-9370
8510,8597,STAT-1110
8511,8597,STAT-1110
13705,270,MATH-2400
13706,10575,ENGL-0160
13709,10575,ENGL-0160
13707,8163,BE-9990
8505,13620,PSYC-281
218,224,CIT-5960
8506,13620,PSYC-281
219,99,CIT-5950
8503,712,PSYC-1440
8504,2537,PSYC-3100
8509,8597,STAT-1110
13702,11255,ECON-2300
8507,11563,PSYC-1462
8508,8597,STAT-1110
8520,8633,STAT-1010
8523,8597,STAT-1110
9854,2576,LAW-9640
8521,8597,STAT-1110
9852,9712,LAW-9050
8522,8597,STAT-1110
220,270,MATH-3600
13716,10575,ENGL-0160
221,47,CSE-399
13717,1797,COML-2020
222,224,CIT-5960
223,808,ESE-1120
13715,6946,ECON-0100
224,592,MATH-2410
225,224,CIT-5960
226,99,CIT-5950
227,224,CIT-5900
13719,1237,INTR-301
8516,8633,STAT-1010
8517,3912,STAT-1120
229,224,CIT-5900
8514,592,STAT-5100
8515,8632,STAT-4310
13712,8652,ENGL-1650
13713,12332,PSYC-262
8518,592,STAT-5100
13710,270,MATH-2400
8519,8633,STAT-1010
13711,2672,PHIL-1000
8530,3634,STAT-001
12391,6970,ECON-003
8531,8597,STAT-1110
12392,383,INTG-0001
7200,7211,OPIM-101
12390,275,MATH-151
9860,12284,LGST-1000
8534,592,STAT-5100
12395,10575,ENGL-0160
7202,7211,OPIM-101
8535,8597,STAT-1110
12396,1530,COGS-001
7201,7211,OPIM-101
8532,8597,STAT-1110
7204,7211,OPIM-101
8533,8597,STAT-1110
230,224,CIT-5900
231,224,CIT-5900
232,1,CIT-5910
233,9908,MATH-1400
234,9908,MATH-1400
235,592,MATH-2410
236,592,MATH-2410
237,592,MATH-2410
238,592,MATH-2410
8527,8633,STAT-1020
239,270,MATH-2400
8528,8597,STAT-1110
8525,8597,STAT-1110
8526,3634,STAT-001
12398,9880,LING-5170
8529,592,STAT-5100
8541,8597,STAT-1110
9872,7440,LGST-2910
8542,8597,STAT-1110
9873,7440,LGST-2910
7211,7386,MGMT-1010
8540,8633,STAT-1020
7210,7211,OPIM-101
8545,8597,STAT-1110
7213,7211,OPIM-101
8546,8597,STAT-1110
7212,7211,OPIM-101
8543,8597,STAT-1110
7215,12752,MMP-525
8544,8597,STAT-1110
7214,6213,OPIM-615
240,9908,MATH-1400
241,592,MATH-2410
242,592,MATH-2410
243,270,MATH-3600
244,592,MATH-2410
245,592,MATH-2410
246,9908,MATH-1400
247,9908,MATH-1400
248,592,MATH-2410
249,275,MATH-4100
8538,8508,STAT-002
7206,7211,OPIM-101
8539,8597,STAT-1110
7205,7211,OPIM-101
8536,8597,STAT-1110
7208,7211,OPIM-101
8537,8597,STAT-1110
7207,7211,OPIM-101
7209,7211,OPIM-101
8552,8597,STAT-1110
7220,7222,MMP-501
8553,8633,STAT-1010
12370,3287,PSYC-160
9884,1505,LING-6400
8550,8597,STAT-1110
7222,1733,MPHY-9910
8551,8597,STAT-1110
